WELL,X,Y,MD,GR,RT,CN,DEN,DEPOSITIONAL_ENVIRONMENT,LITH_NAME,LITH_CODE
Well-1,0.8179,2.9814,1602.0,83.939,3.1660000000000004,0.25,2.344,Marine,Marly sandstone,1200
Well-1,0.8179,2.9814,1602.1,84.166,3.135,0.246,2.352,Marine,Marly sandstone,1200
Well-1,0.8179,2.9814,1602.2,85.055,3.089,0.244,2.352,Marine,Marly sandstone,1200
Well-1,0.8179,2.9814,1602.3,86.352,3.042,0.242,2.355,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1602.4,87.61399999999998,3.003,0.241,2.369,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1602.5,88.869,2.944,0.241,2.392,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1602.6,90.151,2.928,0.241,2.415,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1602.7,91.378,2.929,0.241,2.42,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1602.8,92.711,2.926,0.241,2.403,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1602.9,93.892,2.944,0.242,2.381,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1603.0,95.102,2.977,0.248,2.359,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1603.1,92.724,3.009,0.254,2.356,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1603.2,89.945,3.04,0.259,2.355,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1603.3,86.954,3.072,0.251,2.353,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1603.4,85.285,3.104,0.245,2.356,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1603.5,84.64200000000002,3.135,0.239,2.354,Marine,Sandstone,600
Well-1,0.8179,2.9814,1603.6,83.897,3.167,0.233,2.341,Marine,Sandstone,600
Well-1,0.8179,2.9814,1603.7,83.177,3.199,0.226,2.3280000000000003,Marine,Sandstone,600
Well-1,0.8179,2.9814,1603.8,82.463,3.23,0.22,2.331,Marine,Sandstone,600
Well-1,0.8179,2.9814,1603.9,81.73100000000002,3.263,0.21600000000000005,2.345,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1604.0,81.477,3.293,0.22,2.362,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1604.1,82.215,3.326,0.224,2.381,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1604.2,83.145,3.329,0.228,2.401,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1604.3,84.072,3.324,0.228,2.396,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1604.4,84.994,3.294,0.229,2.386,Marine,Sandstone,600
Well-1,0.8179,2.9814,1604.5,85.917,3.27,0.232,2.37,Marine,Sandstone,600
Well-1,0.8179,2.9814,1604.6,86.839,3.247,0.228,2.353,Marine,Sandstone,600
Well-1,0.8179,2.9814,1604.7,87.76899999999998,3.194,0.225,2.336,Marine,Sandstone,600
Well-1,0.8179,2.9814,1604.8,88.66799999999998,3.139,0.222,2.322,Marine,Sandstone,600
Well-1,0.8179,2.9814,1604.9,89.641,3.037,0.22,2.336,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1605.0,90.499,2.987,0.219,2.377,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1605.1,91.446,2.982,0.217,2.406,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1605.2,89.861,3.003,0.21600000000000005,2.418,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1605.3,87.89200000000002,3.034,0.21600000000000005,2.414,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1605.4,85.81299999999997,3.087,0.218,2.41,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1605.5,83.897,3.144,0.218,2.403,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1605.6,81.67399999999998,3.18,0.219,2.394,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1605.7,81.31,3.245,0.22,2.387,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1605.8,82.322,3.265,0.222,2.385,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1605.9,83.507,3.313,0.226,2.384,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1606.0,84.655,3.329,0.23,2.384,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1606.1,85.819,3.3280000000000003,0.235,2.385,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1606.2,86.978,3.329,0.239,2.391,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1606.3,88.116,3.324,0.243,2.394,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1606.4,89.368,3.289,0.246,2.391,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1606.5,90.038,3.234,0.241,2.378,Marine,Sandstone,600
Well-1,0.8179,2.9814,1606.6,89.904,3.187,0.238,2.359,Marine,Sandstone,600
Well-1,0.8179,2.9814,1606.7,89.89299999999999,3.1630000000000003,0.234,2.352,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1606.8,89.824,3.139,0.228,2.37,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1606.9,89.79,3.144,0.227,2.377,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1607.0,89.77799999999998,3.123,0.226,2.375,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1607.1,90.601,3.092,0.221,2.372,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1607.2,91.565,3.091,0.219,2.372,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1607.3,92.483,3.065,0.22,2.382,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1607.4,93.45,3.064,0.224,2.393,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1607.5,92.581,3.04,0.229,2.392,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1607.6,90.867,3.029,0.234,2.381,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1607.7,89.179,3.005,0.236,2.364,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1607.8,87.535,3.011,0.236,2.354,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1607.9,86.09700000000002,3.0,0.236,2.36,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1608.0,86.414,2.982,0.236,2.352,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1608.1,86.723,2.96,0.238,2.339,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1608.2,87.118,2.9560000000000004,0.241,2.349,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1608.3,87.45100000000002,2.934,0.242,2.367,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1608.4,87.79700000000003,2.928,0.243,2.364,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1608.5,88.223,2.922,0.244,2.363,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1608.6,87.999,2.899,0.246,2.359,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1608.7,86.72200000000002,2.902,0.247,2.36,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1608.8,85.52,2.904,0.247,2.3680000000000003,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1608.9,84.314,2.9410000000000003,0.247,2.372,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1609.0,83.05,2.975,0.245,2.38,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1609.1,81.867,3.011,0.242,2.383,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1609.2,80.82300000000002,3.0460000000000003,0.239,2.378,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1609.3,82.008,3.0810000000000004,0.24,2.372,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1609.4,83.238,3.116,0.242,2.366,Marine,Sandstone,600
Well-1,0.8179,2.9814,1609.5,84.509,3.151,0.247,2.361,Marine,Sandstone,600
Well-1,0.8179,2.9814,1609.6,85.804,3.187,0.246,2.361,Marine,Sandstone,600
Well-1,0.8179,2.9814,1609.7,87.044,3.222,0.239,2.358,Marine,Sandstone,600
Well-1,0.8179,2.9814,1609.8,87.90799999999999,3.257,0.229,2.345,Marine,Sandstone,600
Well-1,0.8179,2.9814,1609.9,85.801,3.292,0.22,2.334,Marine,Sandstone,600
Well-1,0.8179,2.9814,1610.0,83.863,3.327,0.21,2.347,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1610.1,82.226,3.362,0.204,2.367,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1610.2,81.53,3.397,0.213,2.384,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1610.3,81.556,3.434,0.219,2.388,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1610.4,81.637,3.429,0.225,2.389,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1610.5,81.745,3.405,0.231,2.396,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1610.6,81.827,3.367,0.237,2.405,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1610.7,81.916,3.313,0.243,2.393,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1610.8,82.01299999999998,3.26,0.243,2.36,Marine,Sandy marl,1300
Well-1,0.8179,2.9814,1610.9,82.09,3.207,0.243,2.333,Marine,Sandy marl,1300
Well-9,0.364,1.8629,1102.0,103.42,4.006,0.4,2.12,Continental,Coal clay,1100
Well-9,0.364,1.8629,1102.1,107.88,4.22,0.4,2.18,Continental,Coal clay,1100
Well-9,0.364,1.8629,1102.2,110.98,4.587,0.39,2.23,Continental,Coal clay,1100
Well-9,0.364,1.8629,1102.3,110.99,4.709,0.39,2.26,Continental,Coal clay,1100
Well-9,0.364,1.8629,1102.4,105.48,4.777,0.39,2.28,Continental,Coal clay,1100
Well-9,0.364,1.8629,1102.5,94.99,4.793,0.39,2.28,Continental,Marl clay,1400
Well-9,0.364,1.8629,1102.6,84.24,4.717,0.4,2.27,Continental,Marl clay,1400
Well-9,0.364,1.8629,1102.7,78.59,4.6610000000000005,0.41,2.25,Continental,Marl clay,1400
Well-9,0.364,1.8629,1102.8,76.88,4.613,0.41,2.24,Continental,Marl clay,1400
Well-9,0.364,1.8629,1102.9,75.27,4.5760000000000005,0.42,2.23,Continental,Marl clay,1400
Well-9,0.364,1.8629,1103.0,73.23,4.589,0.42,2.23,Continental,Marl clay,1400
Well-9,0.364,1.8629,1103.1,72.72,4.613,0.42,2.23,Continental,Marl clay,1400
Well-9,0.364,1.8629,1103.2,73.13,4.654,0.42,2.23,Continental,Marl clay,1400
