,Classic multiplier,n,Original Strassen,Vinograd-Strassen
0,4.333334800321609e-06,1,,
1,,1,2.4933334013136726e-05,
2,,1,,7.133331867710997e-06
3,2.6066666274952393e-05,3,,
4,,3,0.0003670666677256425,
5,,3,,0.00028730000000602257
6,8.506666927132756e-05,5,,
7,,5,0.0011554000011528842,
8,,5,,0.001185399999182361
9,0.00017783333169063553,7,,
10,,7,0.001098933336227977,
11,,7,,0.0011685666662136403
12,0.0003738333349853444,9,,
13,,9,0.00879973333212547,
14,,9,,0.008354666667097868
15,0.0006925666699923264,11,,
16,,11,0.008362766665716967,
17,,11,,0.007882066667662002
18,0.0011080999999345902,13,,
19,,13,0.008568366666925916,
20,,13,,0.007941166666569188
21,0.0017706333358849709,15,,
22,,15,0.008485466666267408,
23,,15,,0.007992499997878136
24,0.002445000000686074,17,,
25,,17,0.07203566666915624,
26,,17,,0.07544309999987793
27,0.003890700000435269,19,,
28,,19,0.0654158999993039,
29,,19,,0.05657703333417885
30,0.004637099998944905,21,,
31,,21,0.06306836666772142,
32,,21,,0.05306956666754559
33,0.005828200000299451,23,,
34,,23,0.06278793333573655,
35,,23,,0.05151636666414561
36,0.007170733336048822,25,,
37,,25,0.0614646000006663,
38,,25,,0.05136506666895002
39,0.008975166669794513,27,,
40,,27,0.06193639999886121,
41,,27,,0.054425799998474154
42,0.011434466667803159,29,,
43,,29,0.061351966670675516,
44,,29,,0.05155093333451077
45,0.013584399998459654,31,,
46,,31,0.061494833336231146,
47,,31,,0.0520501666663525
48,0.016573966667541146,33,,
49,,33,0.5007207000016933,
50,,33,,0.36204726666377
51,0.019802199999200337,35,,
52,,35,0.5255044999964108,
53,,35,,0.369170433334754
54,0.025311866668441024,37,,
55,,37,0.514838833330335,
56,,37,,0.3669563666699105
57,0.02714640000097764,39,,
58,,39,0.5042848666683616,
59,,39,,0.3812893000019055
60,0.0318162666662829,41,,
61,,41,0.49324396666391596,
62,,41,,0.3630890666706061
63,0.03682949999832393,43,,
64,,43,0.4820234333310509,
65,,43,,0.3675802999981291
66,0.04318379999798102,45,,
67,,45,0.5099521666658499,
68,,45,,0.3616339000024406
69,0.05001079999783542,47,,
70,,47,0.49148416666381917,
71,,47,,0.3525868666668733
72,0.05410023333388381,49,,
73,,49,0.5238543666661523,
74,,49,,0.364944233331092
75,0.060640499999863096,51,,
76,,51,0.48236976667006576,
77,,51,,0.3521555666666245
78,0.06874846666566252,53,,
79,,53,0.5106075999986691,
80,,53,,0.3826057666641039
81,0.0763932666668552,55,,
82,,55,0.48559086666743195,
83,,55,,0.35738013333563384
84,0.08500396666689387,57,,
85,,57,0.4930918333338923,
86,,57,,0.38191130000147194
87,0.10187160000108027,59,,
88,,59,0.4968734666666326,
89,,59,,0.3610983666658285
90,0.10553210000216495,61,,
91,,61,0.49493016666626016,
92,,61,,0.3647027000018473
93,0.12372826666736121,63,,
94,,63,0.51668633333126,
95,,63,,0.36425929999677464
96,0.12884433333723186,65,,
97,,65,4.0177592999995495,
98,,65,,2.5632180999988727
99,0.14046516666712705,67,,
100,,67,4.0080347333326545,
101,,67,,2.561245700000048
102,0.15679180000006454,69,,
103,,69,4.021118900001359,
104,,69,,2.5692996666693944
105,0.16516003333041832,71,,
106,,71,3.9900198000032105,
107,,71,,2.578287966668237
108,0.18928346666507423,73,,
109,,73,3.9990627333318116,
110,,73,,2.6015194000016586
111,0.19165300000410448,75,,
112,,75,3.980950233332502,
113,,75,,2.573405899997548
114,0.20869006666665277,77,,
115,,77,4.010396233332965,
116,,77,,2.570412066668117
117,0.22450563333404716,79,,
118,,79,3.9971931999971275,
119,,79,,2.5544247333309613
120,0.24179543333351225,81,,
121,,81,3.9945278666661275,
122,,81,,2.606327399999524
123,0.2742076333330867,83,,
124,,83,4.007487966664485,
125,,83,,2.5875843666678215
126,0.29035110000161996,85,,
127,,85,3.9757092999983192,
128,,85,,2.5644930333340503
129,0.29983406666481943,87,,
130,,87,3.9881190999997975,
131,,87,,2.568007266667943
132,0.32058656666534563,89,,
133,,89,3.9949276666666265,
134,,89,,2.5625663000003747
135,0.3467434333336617,91,,
136,,91,4.045126533332223,
137,,91,,2.578727666666964
138,0.3889537666667214,93,,
139,,93,4.016384100000626,
140,,93,,2.5747808666662118
141,0.3992885333306428,95,,
142,,95,4.014086466668232,
143,,95,,2.567907800000588
144,0.42292443333523505,97,,
145,,97,4.01618453333261,
146,,97,,2.5772289333326626
147,0.4712042666675795,99,,
148,,99,3.9817459000017457,
149,,99,,2.6555170999999973
150,0.47465126666793367,101,,
151,,101,4.005068166666509,
152,,101,,2.5645138333323607
153,0.4961926666655927,103,,
154,,103,4.008783433334126,
155,,103,,2.5664354666660074
156,0.5435398666668334,105,,
157,,105,3.991104100001394,
158,,105,,2.585051999997328
159,0.5704470999990008,107,,
160,,107,3.9982973333292953,
161,,107,,2.5720142999998643
162,0.5847640666664423,109,,
163,,109,4.003460733333971,
164,,109,,2.5686575666671465
165,0.6435761666677232,111,,
166,,111,3.981939566663641,
167,,111,,2.6737782999989577
168,0.6586136999976588,113,,
169,,113,4.0265657000005985,
170,,113,,2.572280433329676
171,0.6931731666675963,115,,
172,,115,4.002037066667981,
173,,115,,2.5745166333338907
174,0.7526748999977523,117,,
175,,117,4.011604600001495,
176,,117,,2.5726749999982226
177,0.770277266667108,119,,
178,,119,4.003705633331265,
179,,119,,2.56988826666687
180,0.833446533336731,121,,
181,,121,4.0289472000004025,
182,,121,,2.5822362333346973
183,0.8553379666676241,123,,
184,,123,4.011148600002343,
185,,123,,2.5627837333328594
186,0.9124450666665022,125,,
187,,125,4.011616833333392,
188,,125,,2.57373943333126
189,0.9386885999968703,127,,
190,,127,3.9969158333309074,
191,,127,,2.5655130666685486
192,1.012486366664234,129,,
193,,129,32.0534891999996,
194,,129,,17.976892133330693
195,1.0437334666664053,131,,
196,,131,32.079035366667085,
197,,131,,18.0192209666687
198,1.0978225000023183,133,,
199,,133,31.952496799999306,
200,,133,,18.10187696666738
201,1.143226833330118,135,,
202,,135,32.010136700000054,
203,,135,,18.039207133335974
204,1.1836434000021352,137,,
205,,137,31.984649000000598,
206,,137,,18.045648533334315
207,1.2324950666637353,139,,
208,,139,31.9383143999997,
209,,139,,18.027118533333123
210,1.3020533666640404,141,,
211,,141,32.05634540000028,
212,,141,,18.018357100001595
213,1.3433384333353995,143,,
214,,143,31.832099433338346,
215,,143,,17.999623400001536
216,1.3755855333341362,145,,
217,,145,31.761994600000133,
218,,145,,17.986193833334255
219,1.4586807666661723,147,,
220,,147,32.06637753333295,
221,,147,,18.048901466667303
222,1.5076658333297626,149,,
223,,149,32.0366931999985,
224,,149,,18.035521700000874
225,1.5665925666689873,151,,
226,,151,31.969746899999638,
227,,151,,18.016829733331786
228,1.6573645666673353,153,,
229,,153,31.92787236666724,
230,,153,,17.97555266666556
231,1.71413983333332,155,,
232,,155,31.91229156666668,
233,,155,,17.953386933331785
234,1.7803014666690917,157,,
235,,157,31.909286966666212,
236,,157,,17.87038616666784
237,1.8591639999989031,159,,
238,,159,31.90392283333252,
239,,159,,17.94523560000137
240,2.0235250333328927,161,,
241,,161,32.09544769999775,
242,,161,,18.08947350000138
243,1.9957884999991318,163,,
244,,163,32.204237766665756,
245,,163,,18.043513533334288
246,2.0607804666700154,165,,
247,,165,32.430718600000546,
248,,165,,18.09290816666665
249,2.125492466662157,167,,
250,,167,32.07793766666631,
251,,167,,18.003415600001365
252,2.2219611333324187,169,,
253,,169,32.061901866664506,
